year,rsut
2015,98.75286482719524
2016,98.74402515986195
2017,98.71081438456497
2018,99.0329191652063
2019,98.95325668543985
2020,98.4923408612813
2021,98.80742149875589
2022,98.29190686369594
2023,98.57280413483919
2024,97.85062149256875
2025,98.55852838803644
2026,98.13326225803324
2027,97.7402939469847
2028,98.44544907661333
2029,97.9400468800166
2030,98.24802423764582
2031,97.42063101154486
2032,98.21897004009925
2033,98.28000327332379
2034,98.02928955914223
2035,97.55366087613041
2036,98.08733978271484
2037,97.27372992528628
2038,97.21421115822987
2039,97.31177257381073
2040,97.26886816155421
2041,97.04275579583155
2042,97.22008807038608
2043,97.46446464225038
2044,97.21697233017177
2045,97.20081375331094
2046,97.05276997187366
2047,97.21366545794761
2048,97.09668225850145
2049,96.80800319305837
2050,97.17042342930624
2051,97.28311968241651
2052,96.5895075549818
2053,97.26902079124973
2054,96.55354902711633
2055,96.87713073312419
2056,96.87646175018727
2057,97.24685955308888
2058,96.59421735789677
2059,96.52509301590591
2060,96.76691608167675
2061,96.64520604381823
2062,96.11608217840326
2063,96.3200499234134
2064,96.36650622642205
2065,96.2558902061149
2066,95.8356931921554
2067,96.10096155454033
2068,96.49139728284862
2069,96.22622030597843
2070,96.15165869307845
2071,96.31246383876017
2072,95.83246903092893
2073,95.70959499829436
2074,95.60293591643034
2075,95.67755057975037
2076,95.44951098716422
2077,95.3506912858519
2078,95.43107314436402
2079,95.35061524273597
2080,95.49102210475972
2081,94.9898057493445
2082,94.99567191764099
2083,94.91810271380699
2084,94.73852959201761
2085,94.60266968191488
2086,94.83774652350439
2087,94.95905855779779
2088,95.26820553296233
2089,94.3667873643849
2090,94.68100019481085
2091,94.28382547456924
2092,94.91047965271831
2093,94.28317250290962
2094,94.3943508409474
2095,94.18325912266562
2096,93.95534358612478
2097,93.98353210867268
2098,94.47234415550754
2099,93.81990030367079
2100,94.08626552215993
2101,93.84739668336633
2102,93.51313925965191
2103,93.75081699319081
2104,93.35863250314372
2105,93.08642191429658
2106,93.61005282467357
2107,93.29025582091448
2108,94.1268365311296
2109,92.98101975950478
2110,92.82534530848673
2111,93.48834073837489
2112,92.77460736836474
2113,92.83599642400871
2114,93.10782209422491
2115,92.81608675603995
2116,92.73077693573416
2117,92.89337302430036
2118,92.61849887795645
2119,92.79486986970248
2120,92.45401212091315
2121,92.87337819974715
2122,92.48491975967198
2123,92.71281077763805
