source_id,activity_id,experiment_id,variant_label,variable,grid_label,filenum,filename,filesize,download_url,opendap_url
E3SM-2-0-NARRM,CMIP,1pctCO2,r1i1p1f1,areacella,gr,1/1,areacella_fx_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr.nc,52043,https://esgf-data2.llnl.gov/thredds/fileServer/user_pub_work/CMIP6/CMIP/E3SM-Project/E3SM-2-0-NARRM/1pctCO2/r1i1p1f1/fx/areacella/gr/v20231010/areacella_fx_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr.nc|http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/E3SM-Project/E3SM-2-0-NARRM/1pctCO2/r1i1p1f1/fx/areacella/gr/v20231010/areacella_fx_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr.nc,https://esgf-data2.llnl.gov/thredds/dodsC/user_pub_work/CMIP6/CMIP/E3SM-Project/E3SM-2-0-NARRM/1pctCO2/r1i1p1f1/fx/areacella/gr/v20231010/areacella_fx_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr.nc|http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/E3SM-Project/E3SM-2-0-NARRM/1pctCO2/r1i1p1f1/fx/areacella/gr/v20231010/areacella_fx_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr.nc
E3SM-2-0-NARRM,CMIP,1pctCO2,r1i1p1f1,rlut,gr,1/3,rlut_Amon_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr_000101-005012.nc,124870822,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/E3SM-Project/E3SM-2-0-NARRM/1pctCO2/r1i1p1f1/Amon/rlut/gr/v20230427/rlut_Amon_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr_000101-005012.nc|https://esgf-data2.llnl.gov/thredds/fileServer/user_pub_work/CMIP6/CMIP/E3SM-Project/E3SM-2-0-NARRM/1pctCO2/r1i1p1f1/Amon/rlut/gr/v20230427/rlut_Amon_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr_000101-005012.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/E3SM-Project/E3SM-2-0-NARRM/1pctCO2/r1i1p1f1/Amon/rlut/gr/v20230427/rlut_Amon_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr_000101-005012.nc|https://esgf-data2.llnl.gov/thredds/dodsC/user_pub_work/CMIP6/CMIP/E3SM-Project/E3SM-2-0-NARRM/1pctCO2/r1i1p1f1/Amon/rlut/gr/v20230427/rlut_Amon_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr_000101-005012.nc
E3SM-2-0-NARRM,CMIP,1pctCO2,r1i1p1f1,rlut,gr,2/3,rlut_Amon_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr_005101-010012.nc,124797099,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/E3SM-Project/E3SM-2-0-NARRM/1pctCO2/r1i1p1f1/Amon/rlut/gr/v20230427/rlut_Amon_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr_005101-010012.nc|https://esgf-data2.llnl.gov/thredds/fileServer/user_pub_work/CMIP6/CMIP/E3SM-Project/E3SM-2-0-NARRM/1pctCO2/r1i1p1f1/Amon/rlut/gr/v20230427/rlut_Amon_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr_005101-010012.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/E3SM-Project/E3SM-2-0-NARRM/1pctCO2/r1i1p1f1/Amon/rlut/gr/v20230427/rlut_Amon_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr_005101-010012.nc|https://esgf-data2.llnl.gov/thredds/dodsC/user_pub_work/CMIP6/CMIP/E3SM-Project/E3SM-2-0-NARRM/1pctCO2/r1i1p1f1/Amon/rlut/gr/v20230427/rlut_Amon_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr_005101-010012.nc
E3SM-2-0-NARRM,CMIP,1pctCO2,r1i1p1f1,rlut,gr,3/3,rlut_Amon_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr_010101-015012.nc,124770403,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/E3SM-Project/E3SM-2-0-NARRM/1pctCO2/r1i1p1f1/Amon/rlut/gr/v20230427/rlut_Amon_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr_010101-015012.nc|https://esgf-data2.llnl.gov/thredds/fileServer/user_pub_work/CMIP6/CMIP/E3SM-Project/E3SM-2-0-NARRM/1pctCO2/r1i1p1f1/Amon/rlut/gr/v20230427/rlut_Amon_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr_010101-015012.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/E3SM-Project/E3SM-2-0-NARRM/1pctCO2/r1i1p1f1/Amon/rlut/gr/v20230427/rlut_Amon_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr_010101-015012.nc|https://esgf-data2.llnl.gov/thredds/dodsC/user_pub_work/CMIP6/CMIP/E3SM-Project/E3SM-2-0-NARRM/1pctCO2/r1i1p1f1/Amon/rlut/gr/v20230427/rlut_Amon_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr_010101-015012.nc
E3SM-2-0-NARRM,CMIP,1pctCO2,r1i1p1f1,rsdt,gr,1/3,rsdt_Amon_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr_000101-005012.nc,104658668,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/E3SM-Project/E3SM-2-0-NARRM/1pctCO2/r1i1p1f1/Amon/rsdt/gr/v20230427/rsdt_Amon_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr_000101-005012.nc|https://esgf-data2.llnl.gov/thredds/fileServer/user_pub_work/CMIP6/CMIP/E3SM-Project/E3SM-2-0-NARRM/1pctCO2/r1i1p1f1/Amon/rsdt/gr/v20230427/rsdt_Amon_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr_000101-005012.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/E3SM-Project/E3SM-2-0-NARRM/1pctCO2/r1i1p1f1/Amon/rsdt/gr/v20230427/rsdt_Amon_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr_000101-005012.nc|https://esgf-data2.llnl.gov/thredds/dodsC/user_pub_work/CMIP6/CMIP/E3SM-Project/E3SM-2-0-NARRM/1pctCO2/r1i1p1f1/Amon/rsdt/gr/v20230427/rsdt_Amon_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr_000101-005012.nc
E3SM-2-0-NARRM,CMIP,1pctCO2,r1i1p1f1,rsdt,gr,2/3,rsdt_Amon_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr_005101-010012.nc,104659185,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/E3SM-Project/E3SM-2-0-NARRM/1pctCO2/r1i1p1f1/Amon/rsdt/gr/v20230427/rsdt_Amon_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr_005101-010012.nc|https://esgf-data2.llnl.gov/thredds/fileServer/user_pub_work/CMIP6/CMIP/E3SM-Project/E3SM-2-0-NARRM/1pctCO2/r1i1p1f1/Amon/rsdt/gr/v20230427/rsdt_Amon_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr_005101-010012.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/E3SM-Project/E3SM-2-0-NARRM/1pctCO2/r1i1p1f1/Amon/rsdt/gr/v20230427/rsdt_Amon_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr_005101-010012.nc|https://esgf-data2.llnl.gov/thredds/dodsC/user_pub_work/CMIP6/CMIP/E3SM-Project/E3SM-2-0-NARRM/1pctCO2/r1i1p1f1/Amon/rsdt/gr/v20230427/rsdt_Amon_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr_005101-010012.nc
E3SM-2-0-NARRM,CMIP,1pctCO2,r1i1p1f1,rsdt,gr,3/3,rsdt_Amon_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr_010101-015012.nc,104659185,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/E3SM-Project/E3SM-2-0-NARRM/1pctCO2/r1i1p1f1/Amon/rsdt/gr/v20230427/rsdt_Amon_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr_010101-015012.nc|https://esgf-data2.llnl.gov/thredds/fileServer/user_pub_work/CMIP6/CMIP/E3SM-Project/E3SM-2-0-NARRM/1pctCO2/r1i1p1f1/Amon/rsdt/gr/v20230427/rsdt_Amon_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr_010101-015012.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/E3SM-Project/E3SM-2-0-NARRM/1pctCO2/r1i1p1f1/Amon/rsdt/gr/v20230427/rsdt_Amon_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr_010101-015012.nc|https://esgf-data2.llnl.gov/thredds/dodsC/user_pub_work/CMIP6/CMIP/E3SM-Project/E3SM-2-0-NARRM/1pctCO2/r1i1p1f1/Amon/rsdt/gr/v20230427/rsdt_Amon_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr_010101-015012.nc
E3SM-2-0-NARRM,CMIP,1pctCO2,r1i1p1f1,rsut,gr,1/3,rsut_Amon_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr_000101-005012.nc,124446918,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/E3SM-Project/E3SM-2-0-NARRM/1pctCO2/r1i1p1f1/Amon/rsut/gr/v20230427/rsut_Amon_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr_000101-005012.nc|https://esgf-data2.llnl.gov/thredds/fileServer/user_pub_work/CMIP6/CMIP/E3SM-Project/E3SM-2-0-NARRM/1pctCO2/r1i1p1f1/Amon/rsut/gr/v20230427/rsut_Amon_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr_000101-005012.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/E3SM-Project/E3SM-2-0-NARRM/1pctCO2/r1i1p1f1/Amon/rsut/gr/v20230427/rsut_Amon_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr_000101-005012.nc|https://esgf-data2.llnl.gov/thredds/dodsC/user_pub_work/CMIP6/CMIP/E3SM-Project/E3SM-2-0-NARRM/1pctCO2/r1i1p1f1/Amon/rsut/gr/v20230427/rsut_Amon_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr_000101-005012.nc
E3SM-2-0-NARRM,CMIP,1pctCO2,r1i1p1f1,rsut,gr,2/3,rsut_Amon_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr_005101-010012.nc,124527940,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/E3SM-Project/E3SM-2-0-NARRM/1pctCO2/r1i1p1f1/Amon/rsut/gr/v20230427/rsut_Amon_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr_005101-010012.nc|https://esgf-data2.llnl.gov/thredds/fileServer/user_pub_work/CMIP6/CMIP/E3SM-Project/E3SM-2-0-NARRM/1pctCO2/r1i1p1f1/Amon/rsut/gr/v20230427/rsut_Amon_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr_005101-010012.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/E3SM-Project/E3SM-2-0-NARRM/1pctCO2/r1i1p1f1/Amon/rsut/gr/v20230427/rsut_Amon_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr_005101-010012.nc|https://esgf-data2.llnl.gov/thredds/dodsC/user_pub_work/CMIP6/CMIP/E3SM-Project/E3SM-2-0-NARRM/1pctCO2/r1i1p1f1/Amon/rsut/gr/v20230427/rsut_Amon_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr_005101-010012.nc
E3SM-2-0-NARRM,CMIP,1pctCO2,r1i1p1f1,rsut,gr,3/3,rsut_Amon_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr_010101-015012.nc,124670585,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/E3SM-Project/E3SM-2-0-NARRM/1pctCO2/r1i1p1f1/Amon/rsut/gr/v20230427/rsut_Amon_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr_010101-015012.nc|https://esgf-data2.llnl.gov/thredds/fileServer/user_pub_work/CMIP6/CMIP/E3SM-Project/E3SM-2-0-NARRM/1pctCO2/r1i1p1f1/Amon/rsut/gr/v20230427/rsut_Amon_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr_010101-015012.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/E3SM-Project/E3SM-2-0-NARRM/1pctCO2/r1i1p1f1/Amon/rsut/gr/v20230427/rsut_Amon_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr_010101-015012.nc|https://esgf-data2.llnl.gov/thredds/dodsC/user_pub_work/CMIP6/CMIP/E3SM-Project/E3SM-2-0-NARRM/1pctCO2/r1i1p1f1/Amon/rsut/gr/v20230427/rsut_Amon_E3SM-2-0-NARRM_1pctCO2_r1i1p1f1_gr_010101-015012.nc
