source_id,activity_id,experiment_id,variant_label,variable,grid_label,filenum,filename,filesize,download_url,opendap_url
GISS-E2-2-H,CMIP,1pctCO2,r1i1p1f1,rlut,gn,1/6,rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_185001-187512.nc,16201192,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rlut/gn/v20191120/rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_185001-187512.nc|https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rlut/gn/v20191120/rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_185001-187512.nc|https://dpesgf03.nccs.nasa.gov/thredds/fileServer/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rlut/gn/v20191120/rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_185001-187512.nc|https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rlut/gn/v20191120/rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_185001-187512.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rlut/gn/v20191120/rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_185001-187512.nc|https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rlut/gn/v20191120/rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_185001-187512.nc||https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rlut/gn/v20191120/rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_185001-187512.nc
GISS-E2-2-H,CMIP,1pctCO2,r1i1p1f1,rlut,gn,2/6,rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_187601-190012.nc,15578824,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rlut/gn/v20191120/rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_187601-190012.nc|https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rlut/gn/v20191120/rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_187601-190012.nc|https://dpesgf03.nccs.nasa.gov/thredds/fileServer/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rlut/gn/v20191120/rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_187601-190012.nc|https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rlut/gn/v20191120/rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_187601-190012.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rlut/gn/v20191120/rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_187601-190012.nc|https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rlut/gn/v20191120/rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_187601-190012.nc||https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rlut/gn/v20191120/rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_187601-190012.nc
GISS-E2-2-H,CMIP,1pctCO2,r1i1p1f1,rlut,gn,3/6,rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_190101-192512.nc,15579100,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rlut/gn/v20191120/rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_190101-192512.nc|https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rlut/gn/v20191120/rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_190101-192512.nc|https://dpesgf03.nccs.nasa.gov/thredds/fileServer/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rlut/gn/v20191120/rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_190101-192512.nc|https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rlut/gn/v20191120/rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_190101-192512.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rlut/gn/v20191120/rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_190101-192512.nc|https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rlut/gn/v20191120/rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_190101-192512.nc||https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rlut/gn/v20191120/rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_190101-192512.nc
GISS-E2-2-H,CMIP,1pctCO2,r1i1p1f1,rlut,gn,4/6,rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_192601-195012.nc,15579100,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rlut/gn/v20191120/rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_192601-195012.nc|https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rlut/gn/v20191120/rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_192601-195012.nc|https://dpesgf03.nccs.nasa.gov/thredds/fileServer/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rlut/gn/v20191120/rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_192601-195012.nc|https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rlut/gn/v20191120/rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_192601-195012.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rlut/gn/v20191120/rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_192601-195012.nc|https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rlut/gn/v20191120/rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_192601-195012.nc||https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rlut/gn/v20191120/rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_192601-195012.nc
GISS-E2-2-H,CMIP,1pctCO2,r1i1p1f1,rlut,gn,5/6,rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_195101-197512.nc,15579100,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rlut/gn/v20191120/rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_195101-197512.nc|https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rlut/gn/v20191120/rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_195101-197512.nc|https://dpesgf03.nccs.nasa.gov/thredds/fileServer/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rlut/gn/v20191120/rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_195101-197512.nc|https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rlut/gn/v20191120/rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_195101-197512.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rlut/gn/v20191120/rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_195101-197512.nc|https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rlut/gn/v20191120/rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_195101-197512.nc||https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rlut/gn/v20191120/rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_195101-197512.nc
GISS-E2-2-H,CMIP,1pctCO2,r1i1p1f1,rlut,gn,6/6,rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_197601-200012.nc,15579100,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rlut/gn/v20191120/rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_197601-200012.nc|https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rlut/gn/v20191120/rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_197601-200012.nc|https://dpesgf03.nccs.nasa.gov/thredds/fileServer/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rlut/gn/v20191120/rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_197601-200012.nc|https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rlut/gn/v20191120/rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_197601-200012.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rlut/gn/v20191120/rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_197601-200012.nc|https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rlut/gn/v20191120/rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_197601-200012.nc||https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rlut/gn/v20191120/rlut_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_197601-200012.nc
GISS-E2-2-H,CMIP,1pctCO2,r1i1p1f1,rsdt,gn,1/6,rsdt_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_185001-187512.nc,16201180,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rsdt/gn/v20191120/rsdt_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_185001-187512.nc|https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rsdt/gn/v20191120/rsdt_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_185001-187512.nc|https://dpesgf03.nccs.nasa.gov/thredds/fileServer/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rsdt/gn/v20191120/rsdt_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_185001-187512.nc|https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rsdt/gn/v20191120/rsdt_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_185001-187512.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rsdt/gn/v20191120/rsdt_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_185001-187512.nc|https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rsdt/gn/v20191120/rsdt_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_185001-187512.nc||https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rsdt/gn/v20191120/rsdt_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_185001-187512.nc
GISS-E2-2-H,CMIP,1pctCO2,r1i1p1f1,rsdt,gn,2/6,rsdt_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_187601-190012.nc,15578812,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rsdt/gn/v20191120/rsdt_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_187601-190012.nc|https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rsdt/gn/v20191120/rsdt_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_187601-190012.nc|https://dpesgf03.nccs.nasa.gov/thredds/fileServer/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rsdt/gn/v20191120/rsdt_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_187601-190012.nc|https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rsdt/gn/v20191120/rsdt_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_187601-190012.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rsdt/gn/v20191120/rsdt_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_187601-190012.nc|https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rsdt/gn/v20191120/rsdt_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_187601-190012.nc||https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rsdt/gn/v20191120/rsdt_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_187601-190012.nc
GISS-E2-2-H,CMIP,1pctCO2,r1i1p1f1,rsdt,gn,3/6,rsdt_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_190101-192512.nc,15579088,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rsdt/gn/v20191120/rsdt_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_190101-192512.nc|https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rsdt/gn/v20191120/rsdt_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_190101-192512.nc|https://dpesgf03.nccs.nasa.gov/thredds/fileServer/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rsdt/gn/v20191120/rsdt_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_190101-192512.nc|https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rsdt/gn/v20191120/rsdt_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_190101-192512.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rsdt/gn/v20191120/rsdt_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_190101-192512.nc|https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rsdt/gn/v20191120/rsdt_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_190101-192512.nc||https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rsdt/gn/v20191120/rsdt_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_190101-192512.nc
GISS-E2-2-H,CMIP,1pctCO2,r1i1p1f1,rsdt,gn,4/6,rsdt_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_192601-195012.nc,15579088,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rsdt/gn/v20191120/rsdt_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_192601-195012.nc|https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rsdt/gn/v20191120/rsdt_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_192601-195012.nc|https://dpesgf03.nccs.nasa.gov/thredds/fileServer/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rsdt/gn/v20191120/rsdt_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_192601-195012.nc|https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rsdt/gn/v20191120/rsdt_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_192601-195012.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rsdt/gn/v20191120/rsdt_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_192601-195012.nc|https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rsdt/gn/v20191120/rsdt_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_192601-195012.nc||https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/1pctCO2/r1i1p1f1/Amon/rsdt/gn/v20191120/rsdt_Amon_GISS-E2-2-H_1pctCO2_r1i1p1f1_gn_192601-195012.nc
